location,date,total_cases,new_cases,total_deaths,new_deaths,total_vaccinations,people_fully_vaccinated,population
Western Sahara,2022-04-20,0.0,0.0,0.0,0.0,0.0,0.0,576005.0
Northern Cyprus,2022-12-06,0.0,0.0,0.0,0.0,0.0,313067.0,382836.0
Macao,2023-04-13,0.0,0.0,0.0,0.0,1802985.0,642266.0,695180.0
Wales,2023-07-12,0.0,0.0,0.0,0.0,0.0,0.0,3170000.0
Hong Kong,2023-08-31,0.0,0.0,0.0,0.0,20847194.0,6801365.0,7488863.0
Taiwan,2023-09-24,0.0,0.0,0.0,0.0,68158988.0,20793089.0,23893396.0
Scotland,2023-10-02,0.0,0.0,0.0,0.0,0.0,0.0,5466000.0
England,2023-10-13,0.0,0.0,0.0,0.0,0.0,0.0,56550000.0
Northern Ireland,2023-10-16,0.0,0.0,0.0,0.0,0.0,0.0,1896000.0
Turks and Caicos Islands,2023-10-18,6630.0,0.0,39.0,0.0,0.0,0.0,45726.0
Nepal,2023-10-18,1003447.0,0.0,12031.0,0.0,0.0,0.0,30547586.0
Nauru,2023-10-18,5393.0,0.0,1.0,0.0,0.0,0.0,12691.0
Tokelau,2023-10-18,80.0,0.0,0.0,0.0,0.0,0.0,1893.0
Montserrat,2023-10-18,1403.0,0.0,8.0,0.0,0.0,0.0,4413.0
United Kingdom,2023-10-18,24779150.0,0.0,230383.0,0.0,0.0,0.0,67508936.0
Niue,2023-10-18,887.0,0.0,0.0,0.0,0.0,0.0,1952.0
North Korea,2023-10-18,0.0,0.0,0.0,0.0,0.0,0.0,26069416.0
United States,2023-10-18,103436829.0,0.0,1136920.0,0.0,0.0,0.0,338289856.0
Tonga,2023-10-18,16839.0,0.0,12.0,0.0,0.0,0.0,106867.0
Trinidad and Tobago,2023-10-18,191496.0,0.0,4390.0,0.0,0.0,0.0,1531043.0
Tunisia,2023-10-18,1153361.0,0.0,29423.0,0.0,0.0,0.0,12356116.0
New Zealand,2023-10-18,2390777.0,0.0,3376.0,0.0,0.0,0.0,5185289.0
Myanmar,2023-10-18,641324.0,0.0,19494.0,0.0,0.0,0.0,54179312.0
Uganda,2023-10-18,171871.0,0.0,3632.0,0.0,0.0,0.0,47249588.0
Tuvalu,2023-10-18,2943.0,0.0,1.0,0.0,0.0,0.0,11335.0
Nicaragua,2023-10-18,16050.0,0.0,245.0,0.0,0.0,0.0,6948395.0
Vatican,2023-10-18,26.0,0.0,0.0,0.0,0.0,0.0,808.0
Ukraine,2023-10-18,5520483.0,0.0,109918.0,0.0,0.0,0.0,39701744.0
Namibia,2023-10-18,172121.0,0.0,4100.0,0.0,0.0,0.0,2567024.0
Albania,2023-10-18,334090.0,0.0,3604.0,0.0,0.0,0.0,2842318.0
Niger,2023-10-18,9515.0,0.0,315.0,0.0,0.0,0.0,26207982.0
Turkey,2023-10-18,17004677.0,0.0,101419.0,0.0,0.0,0.0,85341248.0
Nigeria,2023-10-18,267146.0,0.0,3155.0,0.0,0.0,0.0,218541216.0
United Arab Emirates,2023-10-18,1067030.0,0.0,2349.0,0.0,0.0,0.0,9441138.0
Morocco,2023-10-18,1277082.0,0.0,16297.0,0.0,0.0,0.0,37457976.0
New Caledonia,2023-10-18,80064.0,0.0,314.0,0.0,0.0,0.0,289959.0
Mozambique,2023-10-18,233654.0,0.0,2249.0,0.0,0.0,0.0,32969520.0
Turkmenistan,2023-10-18,0.0,0.0,0.0,0.0,0.0,0.0,6430777.0
Switzerland,2023-10-18,4415674.0,0.0,14065.0,0.0,0.0,0.0,8740471.0
Togo,2023-10-18,39524.0,0.0,290.0,0.0,0.0,0.0,8848700.0
South Korea,2023-10-18,34571873.0,0.0,35934.0,0.0,0.0,0.0,51815808.0
Afghanistan,2023-10-18,226816.0,0.0,7952.0,0.0,0.0,0.0,41128772.0
Russia,2023-10-18,23061960.0,0.0,400102.0,0.0,0.0,0.0,144713312.0
South Africa,2023-10-18,4072533.0,0.0,102595.0,0.0,0.0,0.0,59893884.0
Rwanda,2023-10-18,133194.0,0.0,1468.0,0.0,0.0,0.0,13776702.0
Saint Barthelemy,2023-10-18,5507.0,0.0,5.0,0.0,0.0,0.0,10994.0
Saint Helena,2023-10-18,2166.0,0.0,0.0,0.0,0.0,0.0,5401.0
Somalia,2023-10-18,27334.0,0.0,1361.0,0.0,0.0,0.0,17597508.0
Saint Kitts and Nevis,2023-10-18,6607.0,0.0,46.0,0.0,0.0,0.0,47681.0
Solomon Islands,2023-10-18,21611.0,0.0,153.0,0.0,0.0,0.0,724272.0
Saint Lucia,2023-10-18,30147.0,0.0,410.0,0.0,0.0,0.0,179872.0
Slovenia,2023-10-18,1345384.0,0.0,9448.0,0.0,0.0,0.0,2119843.0
Saint Martin (French part),2023-10-18,12324.0,0.0,46.0,0.0,0.0,0.0,31816.0
Saint Pierre and Miquelon,2023-10-18,3426.0,0.0,2.0,0.0,0.0,0.0,5885.0
Montenegro,2023-10-18,251280.0,0.0,2654.0,0.0,0.0,0.0,627082.0
Uzbekistan,2023-10-18,174123.0,0.0,1016.0,0.0,0.0,0.0,34627648.0
Saint Vincent and the Grenadines,2023-10-18,9644.0,0.0,124.0,0.0,0.0,0.0,103959.0
Slovakia,2023-10-18,1867647.0,0.0,21167.0,0.0,0.0,0.0,5643455.0
Sint Maarten (Dutch part),2023-10-18,11051.0,0.0,92.0,0.0,0.0,0.0,44192.0
Samoa,2023-10-18,16778.0,0.0,31.0,0.0,0.0,0.0,222390.0
Singapore,2023-10-18,2626395.0,0.0,1872.0,0.0,0.0,0.0,5637022.0
San Marino,2023-10-18,24697.0,0.0,126.0,0.0,0.0,0.0,33690.0
Sao Tome and Principe,2023-10-18,6599.0,0.0,80.0,0.0,0.0,0.0,227393.0
Sierra Leone,2023-10-18,7766.0,0.0,125.0,0.0,0.0,0.0,8605723.0
Saudi Arabia,2023-10-18,841469.0,0.0,9646.0,0.0,0.0,0.0,36408824.0
Seychelles,2023-10-18,50937.0,0.0,172.0,0.0,0.0,0.0,107135.0
Senegal,2023-10-18,89022.0,0.0,1971.0,0.0,0.0,0.0,17316452.0
Romania,2023-10-18,3478091.0,0.0,68409.0,0.0,0.0,0.0,19659270.0
North Macedonia,2023-10-18,349104.0,0.0,9946.0,0.0,0.0,0.0,2093606.0
Reunion,2023-10-18,494595.0,0.0,921.0,0.0,0.0,0.0,974062.0
Spain,2023-10-18,13980340.0,0.0,121852.0,0.0,0.0,0.0,47558632.0
Northern Mariana Islands,2023-10-18,14299.0,0.0,41.0,0.0,0.0,0.0,49574.0
Timor,2023-10-18,23460.0,0.0,138.0,0.0,0.0,0.0,1341298.0
Norway,2023-10-18,1489459.0,0.0,5732.0,0.0,0.0,0.0,5434324.0
Oman,2023-10-18,399449.0,0.0,4628.0,0.0,0.0,0.0,4576300.0
Thailand,2023-10-18,4757728.0,0.0,34482.0,0.0,0.0,0.0,71697024.0
Pakistan,2023-10-18,1580631.0,0.0,30656.0,0.0,0.0,0.0,235824864.0
Tanzania,2023-10-18,43078.0,0.0,846.0,0.0,0.0,0.0,65497752.0
Palau,2023-10-18,6243.0,0.0,9.0,0.0,0.0,0.0,18084.0
Tajikistan,2023-10-18,17786.0,0.0,125.0,0.0,0.0,0.0,9952789.0
Palestine,2023-10-18,703228.0,0.0,5708.0,0.0,0.0,0.0,5250076.0
Syria,2023-10-18,57423.0,0.0,3163.0,0.0,0.0,0.0,22125242.0
Panama,2023-10-18,1047587.0,0.0,8654.0,0.0,0.0,0.0,4408582.0
Papua New Guinea,2023-10-18,46864.0,0.0,670.0,0.0,0.0,0.0,10142625.0
Serbia,2023-10-18,2560024.0,0.0,18057.0,0.0,0.0,0.0,6871547.0
Paraguay,2023-10-18,735897.0,0.0,19978.0,0.0,0.0,0.0,6780745.0
Peru,2023-10-18,4520727.0,0.0,221704.0,0.0,0.0,0.0,34049588.0
Philippines,2023-10-18,4115714.0,0.0,66702.0,0.0,0.0,0.0,115559008.0
Suriname,2023-10-18,82588.0,0.0,1408.0,0.0,0.0,0.0,618046.0
Pitcairn,2023-10-18,4.0,0.0,0.0,0.0,0.0,0.0,47.0
Sudan,2023-10-18,63993.0,0.0,5046.0,0.0,0.0,0.0,46874200.0
Portugal,2023-10-18,5621015.0,0.0,27424.0,0.0,0.0,0.0,10270857.0
Puerto Rico,2023-10-18,1252713.0,0.0,5938.0,0.0,0.0,0.0,3252412.0
Sri Lanka,2023-10-18,672593.0,0.0,16882.0,0.0,0.0,0.0,21832150.0
Qatar,2023-10-18,514524.0,0.0,690.0,0.0,0.0,0.0,2695131.0
Vanuatu,2023-10-18,12019.0,0.0,14.0,0.0,0.0,0.0,326744.0
South Sudan,2023-10-18,18368.0,0.0,138.0,0.0,0.0,0.0,10913172.0
Antigua and Barbuda,2023-10-18,9106.0,0.0,146.0,0.0,0.0,0.0,93772.0
Lebanon,2023-10-18,1239904.0,0.0,10947.0,0.0,0.0,0.0,5489744.0
Monaco,2023-10-18,17049.0,0.0,67.0,0.0,0.0,0.0,36491.0
El Salvador,2023-10-18,201808.0,0.0,4230.0,0.0,0.0,0.0,6336393.0
Egypt,2023-10-18,516023.0,0.0,24830.0,0.0,0.0,0.0,110990096.0
Ecuador,2023-10-18,1069139.0,0.0,36043.0,0.0,0.0,0.0,18001002.0
Dominican Republic,2023-10-18,667074.0,0.0,4384.0,0.0,0.0,0.0,11228821.0
Dominica,2023-10-18,15798.0,0.0,74.0,0.0,0.0,0.0,72758.0
Djibouti,2023-10-18,15690.0,0.0,189.0,0.0,0.0,0.0,1120851.0
Denmark,2023-10-18,3417017.0,0.0,8824.0,0.0,0.0,0.0,5882259.0
Equatorial Guinea,2023-10-18,17130.0,0.0,183.0,0.0,0.0,0.0,1674916.0
Democratic Republic of Congo,2023-10-18,99181.0,0.0,1468.0,0.0,0.0,0.0,99010216.0
Cyprus,2023-10-18,660854.0,0.0,1364.0,0.0,0.0,0.0,896007.0
Curacao,2023-10-18,45883.0,0.0,305.0,0.0,0.0,0.0,191173.0
Cuba,2023-10-18,1115103.0,0.0,8530.0,0.0,0.0,0.0,11212198.0
Croatia,2023-10-18,1275762.0,0.0,18374.0,0.0,0.0,0.0,4030361.0
Angola,2023-10-18,105972.0,0.0,1936.0,0.0,0.0,0.0,35588996.0
Cote d'Ivoire,2023-10-18,88338.0,0.0,835.0,0.0,0.0,0.0,28160548.0
Costa Rica,2023-10-18,1238884.0,0.0,9428.0,0.0,0.0,0.0,5180836.0
Eritrea,2023-10-18,10189.0,0.0,103.0,0.0,0.0,0.0,3684041.0
Estonia,2023-10-18,602187.0,0.0,2902.0,0.0,0.0,0.0,1326064.0
Wallis and Futuna,2023-10-18,3550.0,0.0,8.0,0.0,0.0,0.0,11596.0
Gibraltar,2023-10-18,20550.0,0.0,113.0,0.0,0.0,0.0,32677.0
Ghana,2023-10-18,171653.0,0.0,1462.0,0.0,0.0,0.0,33475870.0
Germany,2023-10-18,38437756.0,0.0,174979.0,0.0,0.0,0.0,83369840.0
Georgia,2023-10-18,1855289.0,0.0,17132.0,0.0,0.0,0.0,3744385.0
Gambia,2023-10-18,12626.0,0.0,372.0,0.0,0.0,0.0,2705995.0
Andorra,2023-10-18,48015.0,0.0,159.0,0.0,0.0,0.0,79843.0
Gabon,2023-10-18,48992.0,0.0,307.0,0.0,0.0,0.0,2388997.0
French Polynesia,2023-10-18,78642.0,0.0,649.0,0.0,0.0,0.0,306292.0
French Guiana,2023-10-18,98041.0,0.0,413.0,0.0,0.0,0.0,304568.0
France,2023-10-18,38997490.0,0.0,167985.0,0.0,0.0,0.0,67813000.0
Mongolia,2023-10-18,1011170.0,0.0,2284.0,0.0,0.0,0.0,3398373.0
Fiji,2023-10-18,69047.0,0.0,885.0,0.0,0.0,0.0,929769.0
Falkland Islands,2023-10-18,1923.0,0.0,0.0,0.0,0.0,0.0,3801.0
Faeroe Islands,2023-10-18,34658.0,0.0,28.0,0.0,0.0,0.0,53117.0
Ethiopia,2023-10-18,501060.0,0.0,7574.0,0.0,0.0,0.0,123379928.0
Eswatini,2023-10-18,75052.0,0.0,1427.0,0.0,0.0,0.0,1201680.0
Cook Islands,2023-10-18,7168.0,0.0,2.0,0.0,0.0,0.0,17032.0
Congo,2023-10-18,25196.0,0.0,389.0,0.0,0.0,0.0,5970430.0
